City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,mossel bay,-34.1831,22.146,24.96,66,99,2.65,ZA,1691131679
84,artvin,41.1667,41.8333,26.11,57,11,1.92,TR,1691131679
85,lefka,35.1106,32.8506,31.71,40,0,3.46,CY,1691131679
86,qaqortoq,60.7167,-46.0333,4.45,94,24,2.01,GL,1691131680
87,bilibino,68.0546,166.4372,10.26,97,100,0.45,RU,1691131681
88,bontang,0.1333,117.5,28.95,73,11,6.05,ID,1691131633
89,saipan,15.2123,145.7545,30.08,100,0,3.09,MP,1691131681
90,live oak,36.9836,-121.9805,16.94,88,100,1.54,US,1691131682
91,ambon,-3.6954,128.1814,27.08,78,75,1.03,ID,1691131682
92,vilyuchinsk,52.9306,158.4028,20.15,75,48,4.08,RU,1691131514
93,el matama,16.7095,33.3565,31.99,44,31,5.94,SD,1691131682
94,plastun,44.7561,136.2939,16.34,93,100,2.46,RU,1691131683
95,kidal,18.4411,1.4078,31.75,35,52,4.26,ML,1691131683
96,grants,35.1473,-107.8514,16.13,36,0,0.0,US,1691131683
97,chimbarongo,-34.7,-71.05,5.4,83,13,1.97,CL,1691131684
98,lucapa,-8.4192,20.7447,23.61,33,0,4.5,AO,1691131684
99,crane,31.3974,-102.3501,29.73,39,0,8.28,US,1691131684
100,qom,34.6401,50.8764,36.77,8,2,9.09,IR,1691131684
101,newman,37.3138,-121.0208,19.13,75,0,1.84,US,1691131685
102,lao cai,22.4833,103.95,35.55,56,36,1.09,VN,1691131685
103,san patricio,19.2167,-104.7,26.16,87,100,1.73,MX,1691131686
104,paoua,7.2427,16.4406,22.78,89,100,0.7,CF,1691131686
105,hwange,-18.3693,26.5019,17.59,37,0,3.84,ZW,1691131686
106,saarbrucken,49.2333,7.0,15.53,94,75,2.57,DE,1691131686
107,khorixas,-20.3667,14.9667,17.9,19,0,2.15,NA,1691131687
108,alofi,-19.0595,-169.9187,21.94,94,100,4.12,NU,1691131687
109,noosa heads,-26.3833,153.15,21.17,67,22,6.28,AU,1691131687
110,port-vila,-17.7338,168.3219,21.78,83,100,3.6,VU,1691131688
111,george town,5.4112,100.3354,32.96,66,20,6.17,MY,1691131502
112,juan griego,11.0817,-63.9655,26.21,86,3,3.72,VE,1691131678
113,west island,-12.1568,96.8225,26.99,78,75,7.72,CC,1691131529
114,ribeira grande,38.5167,-28.7,22.1,83,20,3.13,PT,1691131689
115,olonkinbyen,70.9221,-8.7187,4.19,94,100,9.65,SJ,1691131689
116,maragogi,-9.0122,-35.2225,22.71,69,34,3.3,BR,1691131613
117,ujae,8.9322,165.7642,28.79,76,98,4.84,MH,1691131689
118,grand falls-windsor,48.9332,-55.6649,12.5,90,39,1.59,CA,1691131690
119,vadso,70.0744,29.7487,20.49,77,0,4.63,NO,1691131690
120,hawaiian paradise park,19.5933,-154.9731,24.73,85,20,3.09,US,1691131690
121,impfondo,1.6381,18.0667,22.43,94,100,1.17,CG,1691131625
122,santa cruz,14.2814,121.4161,32.3,62,88,5.83,PH,1691131580
123,vanimo,-2.6741,141.3028,25.85,90,59,7.04,PG,1691131692
124,klyuchi,52.2667,79.1667,31.77,31,21,2.5,RU,1691131692
125,port douglas,-16.4833,145.4667,22.07,80,49,7.5,AU,1691131692
126,college,64.8569,-147.8028,23.99,53,75,0.0,US,1691131692
127,caleta de carquin,-11.0925,-77.6267,18.07,82,34,3.23,PE,1691131694
128,cartagena del chaira,1.3349,-74.8429,20.92,99,81,0.87,CO,1691131694
129,shache,38.4167,77.2406,35.22,16,7,1.43,CN,1691131561
130,igarka,67.4667,86.5833,21.61,41,11,2.08,RU,1691131695
131,ilulissat,69.2167,-51.1,5.01,81,100,0.0,GL,1691131695
132,brookings,44.3114,-96.7984,22.25,90,20,0.0,US,1691131695
133,verkhnevilyuysk,63.4453,120.3167,27.03,28,100,3.5,RU,1691131695
